route,date,detections
Central Mediterranean Route,2013-05-01,1114
Central Mediterranean Route,2013-06-01,3563
Central Mediterranean Route,2013-07-01,6964
Central Mediterranean Route,2013-08-01,7743
Central Mediterranean Route,2013-09-01,9757
Central Mediterranean Route,2013-10-01,8566
Central Mediterranean Route,2013-11-01,1362
Central Mediterranean Route,2013-12-01,2681
Central Mediterranean Route,2014-01-01,2171
Central Mediterranean Route,2014-02-01,3335
Central Mediterranean Route,2014-03-01,5550
Central Mediterranean Route,2014-04-01,15679
Central Mediterranean Route,2014-05-01,14597
Central Mediterranean Route,2014-06-01,22778
Central Mediterranean Route,2014-07-01,24107
Central Mediterranean Route,2014-08-01,25031
Central Mediterranean Route,2014-09-01,26125
Central Mediterranean Route,2014-10-01,15264
Central Mediterranean Route,2014-11-01,9295
Central Mediterranean Route,2014-12-01,6732
Central Mediterranean Route,2015-01-01,3615
Central Mediterranean Route,2015-02-01,4354
Central Mediterranean Route,2015-03-01,2283
Central Mediterranean Route,2015-04-01,16061
Central Mediterranean Route,2015-05-01,21229
Central Mediterranean Route,2015-06-01,22886
Central Mediterranean Route,2015-07-01,23205
Central Mediterranean Route,2015-08-01,22612
Central Mediterranean Route,2015-09-01,15929
Central Mediterranean Route,2015-10-01,8916
Central Mediterranean Route,2015-11-01,3219
Central Mediterranean Route,2015-12-01,9637
Central Mediterranean Route,2016-01-01,5273
Central Mediterranean Route,2016-02-01,3828
Central Mediterranean Route,2016-03-01,9675
Central Mediterranean Route,2016-04-01,9149
Central Mediterranean Route,2016-05-01,19957
Central Mediterranean Route,2016-06-01,22344
Central Mediterranean Route,2016-07-01,23498
Central Mediterranean Route,2016-08-01,21294
Central Mediterranean Route,2016-09-01,16979
Central Mediterranean Route,2016-10-01,27390
Central Mediterranean Route,2016-11-01,13554
Central Mediterranean Route,2016-12-01,8435
Central Mediterranean Route,2017-01-01,4470
Central Mediterranean Route,2017-02-01,8882
Central Mediterranean Route,2017-03-01,10853
Central Mediterranean Route,2017-04-01,12870
Central Mediterranean Route,2017-05-01,22997
Central Mediterranean Route,2017-06-01,23461
Central Mediterranean Route,2017-07-01,11460
Central Mediterranean Route,2017-08-01,3914
Central Mediterranean Route,2017-09-01,6266
Central Mediterranean Route,2017-10-01,5923
Central Mediterranean Route,2017-11-01,5583
Central Mediterranean Route,2017-12-01,2283
Central Mediterranean Route,2018-01-01,4150
Central Mediterranean Route,2018-02-01,1065
Central Mediterranean Route,2018-03-01,977
Central Mediterranean Route,2018-04-01,3083
Central Mediterranean Route,2018-05-01,3794
Central Mediterranean Route,2018-06-01,3244
Central Mediterranean Route,2018-07-01,1811
Central Mediterranean Route,2018-08-01,1822
Central Mediterranean Route,2018-09-01,852
Central Mediterranean Route,2018-10-01,1040
Central Mediterranean Route,2018-11-01,1091
Central Mediterranean Route,2018-12-01,556
Central Mediterranean Route,2019-01-01,199
Central Mediterranean Route,2019-02-01,60
Central Mediterranean Route,2019-03-01,414
Central Mediterranean Route,2019-04-01,271
Central Mediterranean Route,2019-05-01,1143
Central Mediterranean Route,2019-06-01,1785
Central Mediterranean Route,2019-07-01,1276
Central Mediterranean Route,2019-08-01,1883
Central Mediterranean Route,2019-09-01,2793
Central Mediterranean Route,2019-10-01,2185
Central Mediterranean Route,2019-11-01,1411
Central Mediterranean Route,2019-12-01,583
Central Mediterranean Route,2020-01-01,1774
Central Mediterranean Route,2020-02-01,1649
Central Mediterranean Route,2020-03-01,375
Central Mediterranean Route,2020-04-01,723
Central Mediterranean Route,2020-05-01,1740
Central Mediterranean Route,2020-06-01,2228
Central Mediterranean Route,2020-07-01,7232
Central Mediterranean Route,2020-08-01,5442
Central Mediterranean Route,2020-09-01,4262
Central Mediterranean Route,2020-10-01,3374
Central Mediterranean Route,2020-11-01,5348
Central Mediterranean Route,2020-12-01,1526
Central Mediterranean Route,2021-01-01,1039
Central Mediterranean Route,2021-02-01,4059
Central Mediterranean Route,2021-03-01,2385
Central Mediterranean Route,2021-04-01,1479
Central Mediterranean Route,2021-05-01,5703
Central Mediterranean Route,2021-06-01,5855
Central Mediterranean Route,2021-07-01,8727
Central Mediterranean Route,2021-08-01,10123
Central Mediterranean Route,2021-09-01,6877
Central Mediterranean Route,2021-10-01,7220
Central Mediterranean Route,2021-11-01,9589
Central Mediterranean Route,2021-12-01,4668
Central Mediterranean Route,2022-01-01,3035
Central Mediterranean Route,2022-02-01,2439
Central Mediterranean Route,2022-03-01,1358
Central Mediterranean Route,2022-04-01,3930
Central Mediterranean Route,2022-05-01,8751
Central Mediterranean Route,2022-06-01,8148
Central Mediterranean Route,2022-07-01,13803
Central Mediterranean Route,2022-08-01,16896
Central Mediterranean Route,2022-09-01,13710
Central Mediterranean Route,2022-10-01,13523
Central Mediterranean Route,2022-11-01,9177
Central Mediterranean Route,2022-12-01,10791
Central Mediterranean Route,2023-01-01,4963
Central Mediterranean Route,2023-02-01,9466
Central Mediterranean Route,2023-03-01,13267
Central Mediterranean Route,2023-04-01,14597
Central Mediterranean Route,2023-05-01,8154
Central Mediterranean Route,2023-06-01,15213
Central Mediterranean Route,2023-07-01,23456
Central Mediterranean Route,2023-08-01,25756
Central Mediterranean Route,2023-09-01,19209
Central Mediterranean Route,2023-10-01,10321
Central Mediterranean Route,2023-11-01,8335
Central Mediterranean Route,2023-12-01,5289
Central Mediterranean Route,2024-01-01,2293
Central Mediterranean Route,2024-02-01,2333
Central Mediterranean Route,2024-03-01,6858
Central Mediterranean Route,2024-04-01,4721
Central Mediterranean Route,2024-05-01,4976
Central Mediterranean Route,2024-06-01,4902
Central Mediterranean Route,2024-07-01,7493
Central Mediterranean Route,2024-08-01,8527
Central Mediterranean Route,2024-09-01,7691
Central Mediterranean Route,2024-10-01,5774
Central Mediterranean Route,2024-11-01,8124
Central Mediterranean Route,2024-12-01,3163
Central Mediterranean Route,2025-01-01,3506
Central Mediterranean Route,2025-02-01,3329
Central Mediterranean Route,2025-03-01,2407
Central Mediterranean Route,2025-04-01,6578
Central Mediterranean Route,2025-05-01,7199
Central Mediterranean Route,2025-06-01,7149
Central Mediterranean Route,2025-07-01,6488
Central Mediterranean Route,2025-08-01,6148
Central Mediterranean Route,2025-09-01,8350
Circular Route from Albania to Greece,2009-01-01,1521
Circular Route from Albania to Greece,2009-02-01,1884
Circular Route from Albania to Greece,2009-03-01,2368
Circular Route from Albania to Greece,2009-04-01,4207
Circular Route from Albania to Greece,2009-05-01,5512
Circular Route from Albania to Greece,2009-06-01,3701
Circular Route from Albania to Greece,2009-07-01,3590
Circular Route from Albania to Greece,2009-08-01,3245
Circular Route from Albania to Greece,2009-09-01,5535
Circular Route from Albania to Greece,2009-10-01,4694
Circular Route from Albania to Greece,2009-11-01,2861
Circular Route from Albania to Greece,2009-12-01,1132
Circular Route from Albania to Greece,2010-01-01,1981
Circular Route from Albania to Greece,2010-02-01,1484
Circular Route from Albania to Greece,2010-03-01,2754
Circular Route from Albania to Greece,2010-04-01,4803
Circular Route from Albania to Greece,2010-05-01,4443
Circular Route from Albania to Greece,2010-06-01,3256
Circular Route from Albania to Greece,2010-07-01,2672
Circular Route from Albania to Greece,2010-08-01,2655
Circular Route from Albania to Greece,2010-09-01,4333
Circular Route from Albania to Greece,2010-10-01,3934
Circular Route from Albania to Greece,2010-11-01,2067
Circular Route from Albania to Greece,2010-12-01,915
Circular Route from Albania to Greece,2011-01-01,415
Circular Route from Albania to Greece,2011-02-01,330
Circular Route from Albania to Greece,2011-03-01,292
Circular Route from Albania to Greece,2011-04-01,347
Circular Route from Albania to Greece,2011-05-01,365
Circular Route from Albania to Greece,2011-06-01,458
Circular Route from Albania to Greece,2011-07-01,499
Circular Route from Albania to Greece,2011-08-01,456
Circular Route from Albania to Greece,2011-09-01,475
Circular Route from Albania to Greece,2011-10-01,588
Circular Route from Albania to Greece,2011-11-01,600
Circular Route from Albania to Greece,2011-12-01,444
Circular Route from Albania to Greece,2012-01-01,364
Circular Route from Albania to Greece,2012-02-01,308
Circular Route from Albania to Greece,2012-03-01,519
Circular Route from Albania to Greece,2012-04-01,563
Circular Route from Albania to Greece,2012-05-01,677
Circular Route from Albania to Greece,2012-06-01,511
Circular Route from Albania to Greece,2012-07-01,612
Circular Route from Albania to Greece,2012-08-01,229
Circular Route from Albania to Greece,2012-09-01,362
Circular Route from Albania to Greece,2012-10-01,481
Circular Route from Albania to Greece,2012-11-01,526
Circular Route from Albania to Greece,2012-12-01,350
Circular Route from Albania to Greece,2013-01-01,358
Circular Route from Albania to Greece,2013-02-01,293
Circular Route from Albania to Greece,2013-03-01,523
Circular Route from Albania to Greece,2013-04-01,961
Circular Route from Albania to Greece,2013-05-01,1262
Circular Route from Albania to Greece,2013-06-01,790
Circular Route from Albania to Greece,2013-07-01,685
Circular Route from Albania to Greece,2013-08-01,564
Circular Route from Albania to Greece,2013-09-01,777
Circular Route from Albania to Greece,2013-10-01,1043
Circular Route from Albania to Greece,2013-11-01,1022
Circular Route from Albania to Greece,2013-12-01,450
Circular Route from Albania to Greece,2014-01-01,445
Circular Route from Albania to Greece,2014-02-01,383
Circular Route from Albania to Greece,2014-03-01,545
Circular Route from Albania to Greece,2014-04-01,647
Circular Route from Albania to Greece,2014-05-01,769
Circular Route from Albania to Greece,2014-06-01,726
Circular Route from Albania to Greece,2014-07-01,688
Circular Route from Albania to Greece,2014-08-01,659
Circular Route from Albania to Greece,2014-09-01,895
Circular Route from Albania to Greece,2014-10-01,1356
Circular Route from Albania to Greece,2014-11-01,1223
Circular Route from Albania to Greece,2014-12-01,505
Circular Route from Albania to Greece,2015-01-01,617
Circular Route from Albania to Greece,2015-02-01,552
Circular Route from Albania to Greece,2015-03-01,738
Circular Route from Albania to Greece,2015-04-01,939
Circular Route from Albania to Greece,2015-05-01,1190
Circular Route from Albania to Greece,2015-06-01,598
Circular Route from Albania to Greece,2015-07-01,516
Circular Route from Albania to Greece,2015-08-01,693
Circular Route from Albania to Greece,2015-09-01,973
Circular Route from Albania to Greece,2015-10-01,1050
Circular Route from Albania to Greece,2015-11-01,779
Circular Route from Albania to Greece,2015-12-01,287
Circular Route from Albania to Greece,2016-01-01,412
Circular Route from Albania to Greece,2016-02-01,419
Circular Route from Albania to Greece,2016-03-01,519
Circular Route from Albania to Greece,2016-04-01,571
Circular Route from Albania to Greece,2016-05-01,480
Circular Route from Albania to Greece,2016-06-01,351
Circular Route from Albania to Greece,2016-07-01,140
Circular Route from Albania to Greece,2016-08-01,417
Circular Route from Albania to Greece,2016-09-01,554
Circular Route from Albania to Greece,2016-10-01,667
Circular Route from Albania to Greece,2016-11-01,389
Circular Route from Albania to Greece,2016-12-01,202
Circular Route from Albania to Greece,2017-01-01,304
Circular Route from Albania to Greece,2017-02-01,563
Circular Route from Albania to Greece,2017-03-01,672
Circular Route from Albania to Greece,2017-04-01,637
Circular Route from Albania to Greece,2017-05-01,547
Circular Route from Albania to Greece,2017-06-01,473
Circular Route from Albania to Greece,2017-07-01,398
Circular Route from Albania to Greece,2017-08-01,583
Circular Route from Albania to Greece,2017-09-01,677
Circular Route from Albania to Greece,2017-10-01,842
Circular Route from Albania to Greece,2017-11-01,477
Circular Route from Albania to Greece,2017-12-01,223
Circular Route from Albania to Greece,2018-01-01,344
Circular Route from Albania to Greece,2018-02-01,340
Circular Route from Albania to Greece,2018-03-01,385
Circular Route from Albania to Greece,2018-04-01,569
Circular Route from Albania to Greece,2018-05-01,538
Circular Route from Albania to Greece,2018-06-01,380
Circular Route from Albania to Greece,2018-07-01,314
Circular Route from Albania to Greece,2018-08-01,372
Circular Route from Albania to Greece,2018-09-01,430
Circular Route from Albania to Greece,2018-10-01,501
Circular Route from Albania to Greece,2018-11-01,154
Circular Route from Albania to Greece,2018-12-01,223
Circular Route from Albania to Greece,2019-01-01,100
Circular Route from Albania to Greece,2019-02-01,149
Circular Route from Albania to Greece,2019-03-01,174
Circular Route from Albania to Greece,2019-04-01,258
Circular Route from Albania to Greece,2019-05-01,211
Circular Route from Albania to Greece,2019-06-01,148
Circular Route from Albania to Greece,2019-07-01,133
Circular Route from Albania to Greece,2019-08-01,174
Circular Route from Albania to Greece,2019-09-01,163
Circular Route from Albania to Greece,2019-10-01,222
Circular Route from Albania to Greece,2019-11-01,125
Circular Route from Albania to Greece,2019-12-01,87
Circular Route from Albania to Greece,2020-01-01,95
Circular Route from Albania to Greece,2020-02-01,112
Circular Route from Albania to Greece,2020-03-01,59
Circular Route from Albania to Greece,2020-04-01,16
Circular Route from Albania to Greece,2020-05-01,52
Circular Route from Albania to Greece,2020-06-01,120
Circular Route from Albania to Greece,2020-07-01,156
Circular Route from Albania to Greece,2020-08-01,141
Circular Route from Albania to Greece,2020-09-01,166
Circular Route from Albania to Greece,2020-10-01,251
Circular Route from Albania to Greece,2020-11-01,123
Circular Route from Albania to Greece,2020-12-01,74
Circular Route from Albania to Greece,2021-01-01,36
Circular Route from Albania to Greece,2021-02-01,82
Circular Route from Albania to Greece,2021-03-01,86
Circular Route from Albania to Greece,2021-04-01,89
Circular Route from Albania to Greece,2021-05-01,164
Circular Route from Albania to Greece,2021-06-01,138
Circular Route from Albania to Greece,2021-07-01,115
Circular Route from Albania to Greece,2021-08-01,101
Circular Route from Albania to Greece,2021-09-01,137
Circular Route from Albania to Greece,2021-10-01,53
Circular Route from Albania to Greece,2021-11-01,61
Circular Route from Albania to Greece,2021-12-01,30
Circular Route from Albania to Greece,2022-01-01,59
Circular Route from Albania to Greece,2022-02-01,55
Circular Route from Albania to Greece,2022-03-01,72
Circular Route from Albania to Greece,2022-04-01,56
Circular Route from Albania to Greece,2022-05-01,87
Circular Route from Albania to Greece,2022-06-01,64
Circular Route from Albania to Greece,2022-07-01,72
Circular Route from Albania to Greece,2022-08-01,61
Circular Route from Albania to Greece,2022-09-01,55
Circular Route from Albania to Greece,2022-10-01,45
Circular Route from Albania to Greece,2022-11-01,46
Circular Route from Albania to Greece,2022-12-01,24
Circular Route from Albania to Greece,2023-01-01,55
Circular Route from Albania to Greece,2023-02-01,47
Circular Route from Albania to Greece,2023-03-01,76
Circular Route from Albania to Greece,2023-04-01,62
Circular Route from Albania to Greece,2023-05-01,89
Circular Route from Albania to Greece,2023-06-01,46
Circular Route from Albania to Greece,2023-07-01,44
Circular Route from Albania to Greece,2023-08-01,44
Circular Route from Albania to Greece,2023-09-01,77
Circular Route from Albania to Greece,2023-10-01,26
Circular Route from Albania to Greece,2023-11-01,48
Circular Route from Albania to Greece,2023-12-01,37
Circular Route from Albania to Greece,2024-01-01,79
Circular Route from Albania to Greece,2024-02-01,37
Circular Route from Albania to Greece,2024-03-01,67
Circular Route from Albania to Greece,2024-04-01,74
Circular Route from Albania to Greece,2024-05-01,49
Circular Route from Albania to Greece,2024-06-01,39
Circular Route from Albania to Greece,2024-07-01,35
Circular Route from Albania to Greece,2024-08-01,27
Circular Route from Albania to Greece,2024-09-01,20
Circular Route from Albania to Greece,2024-10-01,48
Circular Route from Albania to Greece,2024-11-01,17
Circular Route from Albania to Greece,2024-12-01,56
Circular Route from Albania to Greece,2025-01-01,27
Circular Route from Albania to Greece,2025-02-01,25
Circular Route from Albania to Greece,2025-03-01,52
Circular Route from Albania to Greece,2025-04-01,50
Circular Route from Albania to Greece,2025-05-01,31
Circular Route from Albania to Greece,2025-06-01,15
Circular Route from Albania to Greece,2025-07-01,57
Circular Route from Albania to Greece,2025-08-01,30
Circular Route from Albania to Greece,2025-09-01,26
Eastern Borders Route,2009-01-01,93
Eastern Borders Route,2009-02-01,82
Eastern Borders Route,2009-03-01,133
Eastern Borders Route,2009-04-01,112
Eastern Borders Route,2009-05-01,115
Eastern Borders Route,2009-06-01,150
Eastern Borders Route,2009-07-01,107
Eastern Borders Route,2009-08-01,135
Eastern Borders Route,2009-09-01,134
Eastern Borders Route,2009-10-01,106
Eastern Borders Route,2009-11-01,93
Eastern Borders Route,2009-12-01,75
Eastern Borders Route,2010-01-01,25
Eastern Borders Route,2010-02-01,48
Eastern Borders Route,2010-03-01,51
Eastern Borders Route,2010-04-01,106
Eastern Borders Route,2010-05-01,131
Eastern Borders Route,2010-06-01,112
Eastern Borders Route,2010-07-01,86
Eastern Borders Route,2010-08-01,150
Eastern Borders Route,2010-09-01,123
Eastern Borders Route,2010-10-01,101
Eastern Borders Route,2010-11-01,82
Eastern Borders Route,2010-12-01,37
Eastern Borders Route,2011-01-01,36
Eastern Borders Route,2011-02-01,57
Eastern Borders Route,2011-03-01,81
Eastern Borders Route,2011-04-01,82
Eastern Borders Route,2011-05-01,64
Eastern Borders Route,2011-06-01,125
Eastern Borders Route,2011-07-01,94
Eastern Borders Route,2011-08-01,135
Eastern Borders Route,2011-09-01,110
Eastern Borders Route,2011-10-01,101
Eastern Borders Route,2011-11-01,81
Eastern Borders Route,2011-12-01,83
Eastern Borders Route,2012-01-01,28
Eastern Borders Route,2012-02-01,42
Eastern Borders Route,2012-03-01,115
Eastern Borders Route,2012-04-01,175
Eastern Borders Route,2012-05-01,184
Eastern Borders Route,2012-06-01,193
Eastern Borders Route,2012-07-01,135
Eastern Borders Route,2012-08-01,119
Eastern Borders Route,2012-09-01,169
Eastern Borders Route,2012-10-01,183
Eastern Borders Route,2012-11-01,177
Eastern Borders Route,2012-12-01,77
Eastern Borders Route,2013-01-01,56
Eastern Borders Route,2013-02-01,101
Eastern Borders Route,2013-03-01,63
Eastern Borders Route,2013-04-01,111
Eastern Borders Route,2013-05-01,115
Eastern Borders Route,2013-06-01,118
Eastern Borders Route,2013-07-01,165
Eastern Borders Route,2013-08-01,191
Eastern Borders Route,2013-09-01,113
Eastern Borders Route,2013-10-01,163
Eastern Borders Route,2013-11-01,63
Eastern Borders Route,2013-12-01,57
Eastern Borders Route,2014-01-01,56
Eastern Borders Route,2014-02-01,43
Eastern Borders Route,2014-03-01,90
Eastern Borders Route,2014-04-01,52
Eastern Borders Route,2014-05-01,80
Eastern Borders Route,2014-06-01,90
Eastern Borders Route,2014-07-01,143
Eastern Borders Route,2014-08-01,129
Eastern Borders Route,2014-09-01,117
Eastern Borders Route,2014-10-01,182
Eastern Borders Route,2014-11-01,153
Eastern Borders Route,2014-12-01,140
Eastern Borders Route,2015-01-01,54
Eastern Borders Route,2015-02-01,53
Eastern Borders Route,2015-03-01,92
Eastern Borders Route,2015-04-01,122
Eastern Borders Route,2015-05-01,222
Eastern Borders Route,2015-06-01,165
Eastern Borders Route,2015-07-01,222
Eastern Borders Route,2015-08-01,275
Eastern Borders Route,2015-09-01,237
Eastern Borders Route,2015-10-01,217
Eastern Borders Route,2015-11-01,123
Eastern Borders Route,2015-12-01,138
Eastern Borders Route,2016-01-01,52
Eastern Borders Route,2016-02-01,75
Eastern Borders Route,2016-03-01,86
Eastern Borders Route,2016-04-01,94
Eastern Borders Route,2016-05-01,105
Eastern Borders Route,2016-06-01,171
Eastern Borders Route,2016-07-01,146
